Position: (5, 3), Move: right, Accessible Area: 0
Position: (4, 3), Move: left, Accessible Area: 111
Position: (4, 3), Move: straight, Accessible Area: 111
Position: (4, 3), Move: right, Accessible Area: 111
Position: (3, 3), Move: left, Accessible Area: 111
Position: (3, 3), Move: straight, Accessible Area: 111
Position: (3, 3), Move: right, Accessible Area: 111
Position: (3, 4), Move: left, Accessible Area: 111
Position: (3, 4), Move: straight, Accessible Area: 111
Position: (3, 4), Move: right, Accessible Area: 111
Position: (3, 5), Move: left, Accessible Area: 111
Position: (3, 5), Move: straight, Accessible Area: 111
Position: (3, 5), Move: right, Accessible Area: 111
Position: (3, 6), Move: left, Accessible Area: 111
Position: (3, 6), Move: straight, Accessible Area: 111
Position: (3, 6), Move: right, Accessible Area: 111
Position: (3, 7), Move: left, Accessible Area: 111
Position: (3, 7), Move: straight, Accessible Area: 111
Position: (3, 7), Move: right, Accessible Area: 111
Position: (3, 9), Move: left, Accessible Area: 111
Position: (3, 9), Move: straight, Accessible Area: 111
Position: (3, 9), Move: right, Accessible Area: 111
